,primaryTitle,startYear,genres,averageRating,numVotes
398,Mishima: A Life in Four Chapters,1985.0,Biography Drama,8.0,8998
399,Tupac: Resurrection,2003.0,Biography Documentary Music,7.9,8956
400,84 Charing Cross Road,1987.0,Biography Drama Romance,7.4,8683
401,Requiem for the American Dream,2015.0,Biography Documentary News,8.1,8579
402,Muhammad: The Messenger of God,2015.0,Biography Drama History,7.5,8555
403,Beyond the Mat,1999.0,Biography Documentary Sport,7.6,8451
404,Gentleman Jack,2019.0,Biography Drama History,8.2,8381
405,Chasing Ice,2012.0,Biography Documentary,7.8,8275
406,A Twelve-Year Night,2018.0,Biography Crime Drama,7.6,8244
407,The Buddy Holly Story,1978.0,Biography Drama Music,7.2,8160
408,Stander,2003.0,Action Biography Crime,7.1,8148
409,The General,1998.0,Biography Crime Drama,7.3,8117
410,American Me,1992.0,Biography Crime Drama,7.2,7914
411,Tut,2015.0,Biography Drama History,7.1,7866
412,The Traitor,2019.0,Biography Crime Drama,7.1,7859
413,The Dance of Reality,2013.0,Biography Drama Fantasy,7.5,7787
414,Lemmy,2010.0,Biography Documentary Music,7.8,7754
415,Pocket Hercules: Naim Süleymanoglu,2019.0,Biography Drama Sport,8.4,7705
416,The Message,1976.0,Biography Drama History,9.0,7587
417,The Whiskey Bandit,2017.0,Action Biography Crime,7.5,7544
418,Gonzo,2008.0,Biography Documentary Music,7.7,7543
419,The Durrells in Corfu,2016.0,Biography Comedy Drama,8.2,7542
420,The King's Choice,2016.0,Biography Drama History,7.1,7510
421,10 Rillington Place,1971.0,Biography Crime Drama,7.6,7503
422,On My Skin: The Last Seven Days of Stefano Cucchi,2018.0,Biography Drama,7.3,7465
423,Mrs. America,2020.0,Biography Drama History,7.9,7455
424,Mao's Last Dancer,2009.0,Biography Drama Music,7.3,7380
425,The Story of Adele H,1975.0,Biography Drama History,7.3,7317
426,The Armstrong Lie,2013.0,Biography Documentary Sport,7.3,7221
427,Roots,2016.0,Biography Drama History,7.9,7145
428,Dear Diary,1993.0,Biography Comedy Drama,7.3,7116
429,Barefoot Gen,1983.0,Animation Biography Drama,8.0,7105
430,Fellini's Casanova,1976.0,Biography Drama History,7.2,7093
431,The Prize Winner of Defiance  Ohio,2005.0,Biography Drama,7.3,7028
432,Frances,1982.0,Biography Drama Romance,7.4,6984
433,Listen to Me Marlon,2015.0,Biography Documentary,8.2,6970
434,The Kid Stays in the Picture,2002.0,Biography Documentary,7.3,6939
435,Robin Williams: Come Inside My Mind,2018.0,Biography Comedy Documentary,8.0,6845
436,Bobby Fischer Against the World,2011.0,Biography Documentary History,7.4,6780
437,The Fear of 13,2015.0,Biography Crime Documentary,7.6,6778
