,titleType,primaryTitle,startYear,genres,averageRating,numVotes
445,movie,Ong-Bak: The Thai Warrior,2003.0,Action Crime Thriller,7.2,70789
446,movie,The Trial of the Chicago 7,2020.0,Drama History Thriller,7.8,70765
447,movie,Amistad,1997.0,Biography Drama History,7.3,70702
448,movie,Whatever Works,2009.0,Comedy Romance,7.1,70702
449,movie,A Very Long Engagement,2004.0,Drama Mystery Romance,7.6,70647
450,movie,Harold and Maude,1971.0,Comedy Drama Romance,7.9,70364
451,movie,Enter the Void,2009.0,Drama Fantasy,7.3,70326
452,movie,Paprika,2006.0,Animation Drama Fantasy,7.7,70282
453,movie,"Paris, je t'aime",2006.0,Comedy Drama Romance,7.2,70280
454,movie,Star Trek VI: The Undiscovered Country,1991.0,Action Adventure Sci-Fi,7.2,69897
455,movie,Hostiles,2017.0,Drama Western,7.2,69857
457,movie,Andhadhun,2018.0,Crime Drama Music,8.3,69772
458,movie,The Wicker Man,1973.0,Horror Mystery Thriller,7.5,69529
459,movie,Freedom Writers,2007.0,Biography Crime Drama,7.5,69393
460,movie,Paterson,2016.0,Comedy Drama Romance,7.4,69180
461,movie,Inside Job,2010.0,Crime Documentary,8.2,69138
462,movie,Drishyam,2015.0,Crime Drama Mystery,8.2,68861
463,movie,In the Valley of Elah,2007.0,Crime Drama Mystery,7.1,68628
467,movie,The White Ribbon,2009.0,Drama History Mystery,7.8,68241
470,movie,Christopher Robin,2018.0,Adventure Comedy Drama,7.3,67900
472,movie,God Bless America,2011.0,Comedy Crime Drama,7.2,67736
473,movie,The Girl Who Kicked the Hornet's Nest,2009.0,Action Crime Drama,7.3,67703
476,movie,The Science of Sleep,2006.0,Comedy Drama Fantasy,7.3,67488
477,movie,My Left Foot,1989.0,Biography Drama,7.9,67405
479,movie,The Station Agent,2003.0,Comedy Drama,7.6,67122
480,movie,Zindagi Na Milegi Dobara,2011.0,Comedy Drama,8.1,67091
482,movie,Love Me If You Dare,2003.0,Comedy Drama Romance,7.6,67047
484,movie,Nikita,1990.0,Action Thriller,7.3,66919
485,movie,Strange Days,1995.0,Action Crime Drama,7.2,66831
487,movie,Hannah and Her Sisters,1986.0,Comedy Drama,7.9,66726
488,movie,Go,1999.0,Comedy Crime,7.2,66679
489,movie,The Thirteenth Floor,1999.0,Mystery Sci-Fi Thriller,7.1,66636
490,movie,Seabiscuit,2003.0,Drama History Sport,7.3,66571
491,movie,Fried Green Tomatoes,1991.0,Drama,7.7,66421
492,movie,Blue Ruin,2013.0,Crime Drama Thriller,7.1,66360
493,movie,District B13,2004.0,Action Crime Sci-Fi,7.2,66315
494,movie,Open Range,2003.0,Action Drama Romance,7.4,66299
495,movie,Dil Chahta Hai,2001.0,Comedy Drama Romance,8.1,66282
497,movie,Happiness,1998.0,Comedy Drama,7.7,66086
500,movie,1984,1984.0,Drama Sci-Fi,7.1,65990
501,movie,Invincible,2006.0,Biography Drama Sport,7.1,65752
502,movie,Agora,2009.0,Adventure Biography Drama,7.2,65715
503,movie,Mysterious Skin,2004.0,Drama,7.6,65684
504,movie,Anomalisa,2015.0,Animation Comedy Drama,7.3,65675
505,movie,Hunger,2008.0,Biography Drama,7.6,65493
506,movie,Manhunter,1986.0,Crime Horror Mystery,7.2,65449
507,movie,Badlands,1973.0,Action Crime Drama,7.8,65391
508,movie,The Remains of the Day,1993.0,Drama Romance,7.8,65300
509,movie,The Outlaw Josey Wales,1976.0,Western,7.8,65130
510,movie,Being There,1979.0,Comedy Drama,8.0,65110
511,movie,Fighting with My Family,2019.0,Biography Comedy Drama,7.1,65055
514,movie,House of Sand and Fog,2003.0,Crime Drama,7.5,64926
517,movie,Spirit: Stallion of the Cimarron,2002.0,Adventure Animation Drama,7.2,64797
518,movie,A Dog's Purpose,2017.0,Adventure Comedy Drama,7.2,64729
522,movie,The City of Lost Children,1995.0,Fantasy Sci-Fi,7.5,64537
523,movie,Children of Heaven,1997.0,Drama Family Sport,8.3,64354
524,movie,Funny Games,1997.0,Crime Drama Thriller,7.6,64332
525,movie,Quiz Show,1994.0,Biography Drama History,7.5,64319
526,movie,Dangerous Liaisons,1988.0,Drama Romance,7.6,64166
527,movie,Dirty Rotten Scoundrels,1988.0,Comedy Crime,7.4,64139
529,movie,Wings of Desire,1987.0,Drama Fantasy Romance,8.0,64115
531,movie,The Book of Life,2014.0,Adventure Animation Comedy,7.3,64016
533,movie,Open Your Eyes,1997.0,Drama Mystery Sci-Fi,7.7,63716
534,movie,Senna,2010.0,Biography Documentary Sport,8.5,63623
535,movie,Ringu,1998.0,Horror Mystery,7.2,63542
536,movie,Celda 211,2009.0,Action Adventure Crime,7.6,63539
539,movie,The Rainmaker,1997.0,Crime Drama Thriller,7.2,63445
541,movie,Miss Sloane,2016.0,Drama,7.5,63440
542,movie,Searching for Sugar Man,2012.0,Biography Documentary Music,8.2,63434
543,movie,Rust and Bone,2012.0,Drama Romance,7.5,63433
544,movie,The Bandit,1996.0,Crime Drama Thriller,8.2,63396
545,movie,Three Colors: White,1994.0,Comedy Drama Romance,7.6,63381
