,primaryTitle,startYear,genres,averageRating
509,Champion,2018,Biography Drama Romance,8.3
510,Belle Epoque,1992,Comedy Drama Romance,7.1
511,Happy Accidents,2000,Comedy Romance,7.2
512,La Belle Époque,2019,Comedy Drama Romance,7.4
513,Man Seeking Woman,2015,Comedy Fantasy Romance,7.7
514,Parade's End,2012,Action Drama Romance,7.6
515,Avanti!,1972,Comedy Romance,7.2
516,Abbas in Flower,1982,Comedy Drama Romance,8.1
517,Last Night,1998,Comedy Drama Romance,7.1
518,Indochine,1992,Drama Romance War,7.1
519,You Are the Apple of My Eye,2011,Comedy Drama Romance,7.6
520,Ramy,2019,Comedy Drama Romance,8.0
521,Survive Style 5+,2004,Fantasy Mystery Romance,7.6
522,Thou Gild'st the Even,2013,Drama Fantasy Romance,7.9
523,A Small September Affair,2014,Drama Mystery Romance,7.2
